,img_name,class
0,1.10399646885_67c7d20df9_o.jpg,(25 32)f
1,2.10424815813_e94629b1ec_o.jpg,(25 32)m
2,1.10437979845_5985be4b26_o.jpg,(25 32)f
3,3.10437979845_5985be4b26_o.jpg,(25 32)m
4,2.11816644924_075c3d8d59_o.jpg,(25 32)m
5,1.11562582716_dbc2eb8002_o.jpg,(25 32)f
6,4.10424595844_1009c687e4_o.jpg,(38 43)f
7,5.9506931745_796300ca4a_o.jpg,(25 32)f
8,5.10190308156_5c748ab2da_o.jpg,(25 32)f
9,2.10190308156_5c748ab2da_o.jpg,(25 32)m
10,2.11624488765_9db0b93c94_o.jpg,(25 32)m
11,6.10204739113_0e2ae11708_o.jpg,(25 32)m
12,1.10204739113_0e2ae11708_o.jpg,(25 32)f
13,2.11518638385_cac7193c86_o.jpg,(25 32)m
14,1.11341941104_2bcd4b99e0_o.jpg,(25 32)f
15,2.11431644464_5510e0b7e9_o.jpg,(25 32)m
16,5.11562657036_5fe2235bed_o.jpg,(25 32)f
17,2.11438175534_c13ee0375c_o.jpg,(25 32)m
18,1.11438175534_c13ee0375c_o.jpg,(25 32)f
19,2.10571000386_90e4070c7c_o.jpg,(25 32)m
20,4.10491630366_5cc645056d_o.jpg,(38 43)f
21,1.10438007716_1fc791bce6_o.jpg,(25 32)f
22,2.9731074481_5821415708_o.jpg,(25 32)m
23,2.11097047226_42eb0e0a1f_o.jpg,(25 32)m
24,2.11167478633_afa18032b6_o.jpg,(25 32)m
25,2.10438008125_7d673b3b16_o.jpg,(25 32)m
26,7.9350503632_d1c0024287_o.jpg,(25 32)f
27,2.10491533864_593b5074e9_o.jpg,(25 32)m
28,2.11518770375_202acaf0c0_o.jpg,(25 32)m
29,2.11438095874_f6108a82ed_o.jpg,(25 32)m
30,5.9545512875_ba6fcccea3_o.jpg,(25 32)f
31,2.10518091043_fc3166a2d7_o.jpg,(25 32)m
32,2.9548295372_f42bf75bdd_o.jpg,(25 32)m
33,2.10453790724_62de3504be_o.jpg,(25 32)m
34,3.11727849366_1283a01132_o.jpg,(25 32)m
35,2.11727849366_1283a01132_o.jpg,(25 32)m
36,3.9254706027_30fb69d508_o.jpg,(25 32)m
37,2.10491530954_b9fbcc1630_o.jpg,(25 32)m
38,2.10204495076_6635702017_o.jpg,(25 32)m
39,2.11645266316_5c14b52e4f_o.jpg,(25 32)m
40,2.10997183284_95e21d361c_o.jpg,(25 32)m
41,7.9509748416_476cc2c5a8_o.jpg,(25 32)f
42,5.9914124745_f218c5b9f2_o.jpg,(25 32)f
43,2.9914124745_f218c5b9f2_o.jpg,(25 32)m
44,1.10204731983_643dfbf861_o.jpg,(25 32)f
45,2.11097082974_48166bc382_o.jpg,(25 32)m
46,4.9432313004_680bb1d1a6_o.jpg,(38 43)f
47,7.9432313004_680bb1d1a6_o.jpg,(25 32)f
48,5.9985321195_e46e991539_o.jpg,(25 32)f
49,7.9985321195_e46e991539_o.jpg,(25 32)f
50,1.10266570995_3fb4d97697_o.jpg,(25 32)f
51,7.9563675153_5e0473fb1a_o.jpg,(25 32)f
52,8.8747478879_afab76198a_o.jpg,(25 32)m
53,2.10287590274_fa9248e48e_o.jpg,(25 32)m
54,2.11340757554_66cc393151_o.jpg,(25 32)m
55,5.11518749884_eb4fca177c_o.jpg,(25 32)f
56,8.9347747777_863b82f4ea_o.jpg,(25 32)m
57,9.9347747777_863b82f4ea_o.jpg,(25 32)m
58,2.9347747777_863b82f4ea_o.jpg,(25 32)m
59,5.10190337616_76cca76bbe_o.jpg,(25 32)f
60,4.9347755583_170100f138_o.jpg,(38 43)f
61,2.10204589664_c7222c7d67_o.jpg,(25 32)m
